Comuna,Año,Población
Santiago,2017,411183
Santiago,2018,415136
Santiago,2019,419090
Santiago,2020,423043
Santiago,2021,426996
Santiago,2022,430949
Santiago,2023,434903
Santiago,2024,438856
Cerrillos,2017,79842
Cerrillos,2018,80585
Cerrillos,2019,81327
Cerrillos,2020,82070
Cerrillos,2021,82813
Cerrillos,2022,83556
Cerrillos,2023,84298
Cerrillos,2024,85041
Cerro Navia,2017,131433
Cerro Navia,2018,130835
Cerro Navia,2019,130238
Cerro Navia,2020,129640
Cerro Navia,2021,129043
Cerro Navia,2022,128445
Cerro Navia,2023,127848
Cerro Navia,2024,127250
Conchalí,2017,125278
Conchalí,2018,124751
Conchalí,2019,124223
Conchalí,2020,123696
Conchalí,2021,123169
Conchalí,2022,122642
Conchalí,2023,122114
Conchalí,2024,121587
El Bosque,2017,161571
El Bosque,2018,160669
El Bosque,2019,159767
El Bosque,2020,158865
El Bosque,2021,157963
El Bosque,2022,157061
El Bosque,2023,156159
El Bosque,2024,155257
Estación Central,2017,139257
Estación Central,2018,145227
Estación Central,2019,151198
Estación Central,2020,157168
Estación Central,2021,163138
Estación Central,2022,169108
Estación Central,2023,175079
Estación Central,2024,181049
Huechuraba,2017,97829
Huechuraba,2018,98397
Huechuraba,2019,98966
Huechuraba,2020,99534
Huechuraba,2021,100103
Huechuraba,2022,100671
Huechuraba,2023,101240
Huechuraba,2024,101808
Independencia,2017,98513
Independencia,2018,101146
Independencia,2019,103779
Independencia,2020,106412
Independencia,2021,109044
Independencia,2022,111677
Independencia,2023,114310
Independencia,2024,116943
La Cisterna,2017,89204
La Cisterna,2018,91197
La Cisterna,2019,93191
La Cisterna,2020,95184
La Cisterna,2021,97177
La Cisterna,2022,99170
La Cisterna,2023,101164
La Cisterna,2024,103157
La Florida,2017,364039
La Florida,2018,365581
La Florida,2019,367124
La Florida,2020,368666
La Florida,2021,370209
La Florida,2022,371751
La Florida,2023,373294
La Florida,2024,374836
La Granja,2017,115641
La Granja,2018,115124
La Granja,2019,114607
La Granja,2020,114090
La Granja,2021,113573
La Granja,2022,113056
La Granja,2023,112539
La Granja,2024,112022
La Pintana,2017,176188
La Pintana,2018,176078
La Pintana,2019,175969
La Pintana,2020,175859
La Pintana,2021,175750
La Pintana,2022,175640
La Pintana,2023,175531
La Pintana,2024,175421
La Reina,2017,91717
La Reina,2018,91453
La Reina,2019,91189
La Reina,2020,90925
La Reina,2021,90662
La Reina,2022,90398
La Reina,2023,90134
La Reina,2024,89870
Las Condes,2017,287023
Las Condes,2018,288325
Las Condes,2019,289626
Las Condes,2020,290928
Las Condes,2021,292229
Las Condes,2022,293531
Las Condes,2023,294832
Las Condes,2024,296134
Lo Barnechea,2017,103301
Lo Barnechea,2018,104632
Lo Barnechea,2019,105964
Lo Barnechea,2020,107295
Lo Barnechea,2021,108626
Lo Barnechea,2022,109957
Lo Barnechea,2023,111289
Lo Barnechea,2024,112620
Lo Espejo,2017,98025
Lo Espejo,2018,96492
Lo Espejo,2019,94959
Lo Espejo,2020,93426
Lo Espejo,2021,91894
Lo Espejo,2022,90361
Lo Espejo,2023,88828
Lo Espejo,2024,87295
Lo Prado,2017,95325
Lo Prado,2018,94749
Lo Prado,2019,94172
Lo Prado,2020,93596
Lo Prado,2021,93019
Lo Prado,2022,92443
Lo Prado,2023,91866
Lo Prado,2024,91290
Macul,2017,115802
Macul,2018,116945
Macul,2019,118087
Macul,2020,119230
Macul,2021,120372
Macul,2022,121515
Macul,2023,122657
Macul,2024,123800
Maipú,2017,517384
Maipú,2018,515420
Maipú,2019,513456
Maipú,2020,511492
Maipú,2021,509527
Maipú,2022,507563
Maipú,2023,505599
Maipú,2024,503635
Ñuñoa,2017,205602
Ñuñoa,2018,210726
Ñuñoa,2019,215849
Ñuñoa,2020,220973
Ñuñoa,2021,226096
Ñuñoa,2022,231220
Ñuñoa,2023,236343
Ñuñoa,2024,241467
Pedro Aguirre Cerda,2017,100036
Pedro Aguirre Cerda,2018,99468
Pedro Aguirre Cerda,2019,98901
Pedro Aguirre Cerda,2020,98333
Pedro Aguirre Cerda,2021,97765
Pedro Aguirre Cerda,2022,97197
Pedro Aguirre Cerda,2023,96630
Pedro Aguirre Cerda,2024,96062
Peñalolén,2017,239615
Peñalolén,2018,239167
Peñalolén,2019,238719
Peñalolén,2020,238271
Peñalolén,2021,237822
Peñalolén,2022,237374
Peñalolén,2023,236926
Peñalolén,2024,236478
Providencia,2017,136279
Providencia,2018,137378
Providencia,2019,138478
Providencia,2020,139577
Providencia,2021,140676
Providencia,2022,141775
Providencia,2023,142875
Providencia,2024,143974
Pudahuel,2017,225447
Pudahuel,2018,225786
Pudahuel,2019,226125
Pudahuel,2020,226464
Pudahuel,2021,226803
Pudahuel,2022,227142
Pudahuel,2023,227481
Pudahuel,2024,227820
Quilicura,2017,208460
Quilicura,2018,208055
Quilicura,2019,207650
Quilicura,2020,207245
Quilicura,2021,206839
Quilicura,2022,206434
Quilicura,2023,206029
Quilicura,2024,205624
Quinta Normal,2017,109456
Quinta Normal,2018,112298
Quinta Normal,2019,115140
Quinta Normal,2020,117982
Quinta Normal,2021,120825
Quinta Normal,2022,123667
Quinta Normal,2023,126509
Quinta Normal,2024,129351
Recoleta,2017,155779
Recoleta,2018,155613
Recoleta,2019,155446
Recoleta,2020,155280
Recoleta,2021,155114
Recoleta,2022,154948
Recoleta,2023,154781
Recoleta,2024,154615
Renca,2017,145359
Renca,2018,145111
Renca,2019,144863
Renca,2020,144615
Renca,2021,144366
Renca,2022,144118
Renca,2023,143870
Renca,2024,143622
San Joaquín,2017,93710
San Joaquín,2018,93980
San Joaquín,2019,94251
San Joaquín,2020,94521
San Joaquín,2021,94791
San Joaquín,2022,95061
San Joaquín,2023,95332
San Joaquín,2024,95602
San Miguel,2017,105879
San Miguel,2018,112300
San Miguel,2019,118722
San Miguel,2020,125143
San Miguel,2021,131565
San Miguel,2022,137986
San Miguel,2023,144408
San Miguel,2024,150829
San Ramón,2017,81817
San Ramón,2018,80986
San Ramón,2019,80156
San Ramón,2020,79325
San Ramón,2021,78494
San Ramón,2022,77663
San Ramón,2023,76833
San Ramón,2024,76002
Vitacura,2017,82858
Vitacura,2018,83367
Vitacura,2019,83876
Vitacura,2020,84385
Vitacura,2021,84893
Vitacura,2022,85402
Vitacura,2023,85911
Vitacura,2024,86420
Puente Alto,2017,562136
Puente Alto,2018,562986
Puente Alto,2019,563836
Puente Alto,2020,564686
Puente Alto,2021,565536
Puente Alto,2022,566386
Puente Alto,2023,567236
Puente Alto,2024,568086
Pirque,2017,26217
Pirque,2018,26623
Pirque,2019,27029
Pirque,2020,27435
Pirque,2021,27842
Pirque,2022,28248
Pirque,2023,28654
Pirque,2024,29060
Colina,2017,143674
Colina,2018,147905
Colina,2019,152137
Colina,2020,156368
Colina,2021,160599
Colina,2022,164830
Colina,2023,169062
Colina,2024,173293
Lampa,2017,100785
Lampa,2018,107124
Lampa,2019,113464
Lampa,2020,119803
Lampa,2021,126142
Lampa,2022,132481
Lampa,2023,138821
Lampa,2024,145160
Tiltil,2017,18769
Tiltil,2018,18908
Tiltil,2019,19047
Tiltil,2020,19186
Tiltil,2021,19325
Tiltil,2022,19464
Tiltil,2023,19603
Tiltil,2024,19742
San Bernardo,2017,298699
San Bernardo,2018,299795
San Bernardo,2019,300891
San Bernardo,2020,301987
San Bernardo,2021,303083
San Bernardo,2022,304179
San Bernardo,2023,305275
San Bernardo,2024,306371
Buin,2017,95653
Buin,2018,98698
Buin,2019,101743
Buin,2020,104788
Buin,2021,107834
Buin,2022,110879
Buin,2023,113924
Buin,2024,116969
Calera De Tango,2017,25230
Calera De Tango,2018,25267
Calera De Tango,2019,25305
Calera De Tango,2020,25342
Calera De Tango,2021,25379
Calera De Tango,2022,25416
Calera De Tango,2023,25454
Calera De Tango,2024,25491
Paine,2017,71872
Paine,2018,72866
Paine,2019,73859
Paine,2020,74853
Paine,2021,75847
Paine,2022,76841
Paine,2023,77834
Paine,2024,78828
Melipilla,2017,122274
Melipilla,2018,124281
Melipilla,2019,126289
Melipilla,2020,128296
Melipilla,2021,130303
Melipilla,2022,132310
Melipilla,2023,134318
Melipilla,2024,136325
Alhué,2017,6007
Alhué,2018,6259
Alhué,2019,6510
Alhué,2020,6762
Alhué,2021,7013
Alhué,2022,7265
Alhué,2023,7516
Alhué,2024,7768
Curacaví,2017,32068
Curacaví,2018,32510
Curacaví,2019,32953
Curacaví,2020,33395
Curacaví,2021,33838
Curacaví,2022,34280
Curacaví,2023,34723
Curacaví,2024,35165
María Pinto,2017,13341
María Pinto,2018,13628
María Pinto,2019,13916
María Pinto,2020,14203
María Pinto,2021,14490
María Pinto,2022,14777
María Pinto,2023,15065
María Pinto,2024,15352
San Pedro,2017,10156
San Pedro,2018,10292
San Pedro,2019,10428
San Pedro,2020,10564
San Pedro,2021,10700
San Pedro,2022,10836
San Pedro,2023,10972
San Pedro,2024,11108
Talagante,2017,73234
Talagante,2018,73690
Talagante,2019,74147
Talagante,2020,74603
Talagante,2021,75060
Talagante,2022,75516
Talagante,2023,75973
Talagante,2024,76429
El Monte,2017,35552
El Monte,2018,35830
El Monte,2019,36108
El Monte,2020,36386
El Monte,2021,36663
El Monte,2022,36941
El Monte,2023,37219
El Monte,2024,37497
Padre Hurtado,2017,62601
Padre Hurtado,2018,65264
Padre Hurtado,2019,67927
Padre Hurtado,2020,70590
Padre Hurtado,2021,73254
Padre Hurtado,2022,75917
Padre Hurtado,2023,78580
Padre Hurtado,2024,81243
Peñaflor,2017,89419
Peñaflor,2018,90131
Peñaflor,2019,90843
Peñaflor,2020,91555
Peñaflor,2021,92266
Peñaflor,2022,92978
Peñaflor,2023,93690
Peñaflor,2024,94402
